,name,type
84,Arctic ground squirrel,food
85,Arepa,food
86,Armadillo,animal
87,Arrowhead,food
88,Arrowroot,food
89,Ascidians,food
90,Asian Elephant,animal
91,Asian Giant Hornet,animal
92,Asian Palm Civet,animal
93,Asian pear,food
94,Asiatic Black Bear,animal
95,Asparagus,food
96,Atlantic cod,food
97,Atlantic croaker,food
98,Atlantic halibut,food
99,Atlantic herring,food
100,Atlantic mackerel,food
101,Atlantic menhaden,food
102,Atlantic pollock,food
103,Atlantic salmon,food
104,Atlantic wolffish,food
105,Aung,person
106,Aung Aung,person
107,Aung Aung Lwin,person
108,Aung Aung Oo,person
109,Aung Aung Soe,person
110,Aung Aye,person
111,Aung Ba,person
112,Aung Baw,person
113,Aung Bo,person
114,Aung Chain,person
115,Aung Chan,person
116,Aung Chein,person
117,Aung Chit,person
118,Aung Cho,person
119,Aung Cho Oo,person
120,Aung Chun,person
121,Aung Din,person
122,Aung Gyi,person
123,Aung Han,person
124,Aung Hein,person
125,Aung Hla,person
126,Aung Hla Tun,person
127,Aung Hlaing,person
128,Aung Htay,person
129,Aung Htay Lwin,person
130,Aung Htay Oo,person
131,Aung Htay Win,person
132,Aung Htike,person
133,Aung Htoo,person
134,Aung Htut,person
135,Aung Htwe,person
136,Aung Kha,person
137,Aung Khaing,person
138,Aung Khaing Oo,person
139,Aung Khaing Win,person
140,Aung Khant,person
141,Aung Khin,person
142,Aung Khin Sint,person
143,Aung Khin Soe,person
144,Aung Khin Zaw,person
145,Aung Ko,person
146,Aung Ko Ko,person
147,Aung Ko Lat,person
148,Aung Ko Oo,person
149,Aung Ko Win,person
150,Aung Kyaing,person
151,Aung Kyaw,person
152,Aung Kyaw Hein,person
153,Aung Kyaw Htay,person
154,Aung Kyaw Htoo,person
155,Aung Kyaw Khaing,person
156,Aung Kyaw Kyaw,person
157,Aung Kyaw Lin,person
158,Aung Kyaw Lwin,person
159,Aung Kyaw Min,person
160,Aung Kyaw Moe,person
161,Aung Kyaw Myint,person
162,Aung Kyaw Naing,person
163,Aung Kyaw Nyunt,person
164,Aung Kyaw Oo,person
165,Aung Kyaw San,person
166,Aung Kyaw Sein,person
167,Aung Kyaw Soe,person
168,Aung Kyaw Than,person
169,Aung Kyaw Thein,person
170,Aung Kyaw Thet,person
171,Aung Kyaw Thu,person
172,Aung Kyaw Tint,person
173,Aung Kyaw Tun,person
174,Aung Kyaw Win,person
175,Aung Kyaw Zan,person
176,Aung Kyaw Zaw,person
177,Aung Kyi,person
178,Aung Kyi,person
179,Aung Kyi Myint,person
180,Aung Kyi Thein,person
181,Aung Kyi Win,person
182,Aung Kyin,person
183,Aung Kyin Myint,person
184,Aung Kywe,person
185,Aung Lat,person
186,Aung Lay,person
187,Aung Lin,person
188,Aung Lin Oo,person
189,Aung Lwin,person
190,Aung Lwin Oo,person
191,Aung Maung,person
192,Aung Maw,person
193,Aung Maw Lwin,person
194,Aung Maw Thein,person
195,Aung May,person
196,Aung Min,person
197,Aung Min Naing,person
198,Aung Min Oo,person
199,Aung Min Thein,person
200,Aung Min Tun,person
201,Aung Min Zaw,person
202,Aung Moe,person
203,Aung Moe Kyaw,person
204,Aung Moe Myint,person
205,Aung Moe Win,person
206,Aung Mon,person
207,Aung Moung,person
208,Aung Mya,person
209,Aung Myaing,person
210,Aung Myat,person
211,Aung Myat Kyaw,person
212,Aung Myat Oo,person
213,Aung Myat Soe,person
214,Aung Myin,person
215,Aung Myint,person
216,Aung Myint Htay,person
217,Aung Myint Kyaw,person
218,Aung Myint Kyi,person
219,Aung Myint Maung,person
220,Aung Myint Naing,person
221,Aung Myint Oo,person
222,Aung Myint Sein,person
223,Aung Myint Shwe,person
224,Aung Myint Soe,person
225,Aung Myint Swe,person
226,Aung Myint Than,person
227,Aung Myint Thein,person
228,Aung Myint Tun,person
229,Aung Myo,person
230,Aung Myo Hein,person
231,Aung Myo Htut,person
232,Aung Myo Khaing,person
233,Aung Myo Kyaw,person
234,Aung Myo Lwin,person
235,Aung Myo Myint,person
236,Aung Myo Naing,person
237,Aung Myo Oo,person
238,Aung Myo Thant,person
239,Aung Myo Thu,person
240,Aung Myo Tun,person
241,Aung Myo Win,person
242,Aung Myo Zaw,person
243,Aung Naing,person
244,Aung Naing Htwe,person
245,Aung Naing Lin,person
246,Aung Naing Moe,person
247,Aung Naing Myint,person
248,Aung Naing Oo,person
249,Aung Naing Soe,person
250,Aung Naing Thu,person
251,Aung Naing Tun,person
252,Aung Naing Win,person
253,Aung Ngwe,person
254,Aung Ngwe Soe,person
255,Aung Nyein,person
256,Aung Nyunt,person
257,Aung Oo,person
258,Aung Paing,person
259,Aung Pan,person
260,Aung Pe,person
261,Aung Phone,person
262,Aung Phyo,person
263,Aung Pyae Sone,person
264,Aung San,person
265,Aung San Lwin,person
266,Aung San Myint,person
267,Aung San Oo,person
268,Aung San Tun,person
269,Aung San Win,person
270,Aung Saw,person
271,Aung Sein,person
272,Aung Sein Tun,person
273,Aung Set,person
274,Aung Shan,person
275,Aung Shein,person
276,Aung Shwe,person
277,Aung Shwe Tun,person
278,Aung Si,person
279,Aung Sint,person
280,Aung Soe,person
281,Aung Soe Lin,person
282,Aung Soe Lwin,person
283,Aung Soe Min,person
284,Aung Soe Moe,person
285,Aung Soe Myint,person
286,Aung Soe Oo,person
287,Aung Soe Thein,person
288,Aung Soe Win,person
289,Aung Swe,person
290,Aung Swe Myint,person
291,Aung Swe Oo,person
292,Aung Thaik,person
293,Aung Than,person
294,Aung Than Htay,person
295,Aung Than Lwin,person
296,Aung Than Myint,person
297,Aung Than Nyunt,person
298,Aung Than Oo,person
299,Aung Than Sein,person
300,Aung Than Tun,person
301,Aung Than Win,person
302,Aung Than Zaw,person
303,Aung Thant,person
304,Aung Thar,person
305,Aung Thar Kyaw,person
306,Aung Thar Tun,person
307,Aung Thaung,person
308,Aung Thaw,person
309,Aung Theik,person
310,Aung Thein,person
311,Aung Thein Han,person
312,Aung Thein Myint,person
313,Aung Thein Oo,person
314,Aung Thein Tun,person
315,Aung Thein Win,person
316,Aung Thet,person
317,Aung Thet Oo,person
318,Aung Thin,person
319,Aung Thit,person
320,Aung Thu,person
321,Aung Thu Tun,person
322,Aung Thura,person
323,Aung Thwin,person
324,Aung Tin,person
325,Aung Tin Myint,person
326,Aung Tin Oo,person
327,Aung Tin Soe,person
328,Aung Tin Tun,person
329,Aung Tin Win,person
330,Aung Tint,person
331,Aung Toe,person
332,Aung Tun,person
333,Aung Tun Kyaw,person
334,Aung Tun Kyi,person
335,Aung Tun Lin,person
336,Aung Tun Myint,person
337,Aung Tun Naing,person
338,Aung Tun Oo,person
339,Aung Tun Win,person
340,Aung Win,person
341,Aung Win Hlaing,person
342,Aung Win Khaing,person
343,Aung Win Naing,person
344,Aung Win Oo,person
345,Aung Win Thein,person
346,Aung Win Tun,person
347,Aung Win Zaw,person
348,Aung Yi,person
349,Aung Yin,person
350,Aung Zaw,person
351,Aung Zaw Lat,person
352,Aung Zaw Lin,person
353,Aung Zaw Lwin,person
354,Aung Zaw Min,person
355,Aung Zaw Moe,person
356,Aung Zaw Myint,person
357,Aung Zaw Myo,person
358,Aung Zaw Naing,person
359,Aung Zaw Oo,person
360,Aung Zaw Soe,person
361,Aung Zaw Tun,person
362,Aung Zaw Win,person
363,Aung Zaw Ye Myint,person
364,Aung Zeya,person
365,Aung Zin,person
366,Aurochs,animal
367,Australian Cattle Dog,animal
368,Australian Kelpie Dog,animal
369,Australian Mist,animal
370,Australian Shepherd,animal
371,Australian Terrier,animal
372,Avocado,food
373,Avocet,animal
374,Axolotl,animal
375,Aye,person
376,Aye,person
377,Aye Aung,person
378,Aye Aye,animal
379,Aye Aye,person
380,Aye Aye,person
381,Aye Aye Aung,person
382,Aye Aye Cho,person
383,Aye Aye Han,person
384,Aye Aye Hla,person
385,Aye Aye Hlaing,person
386,Aye Aye Htay,person
387,Aye Aye Htwe,person
388,Aye Aye Khaing,person
389,Aye Aye Khin,person
390,Aye Aye Kyaing,person
391,Aye Aye Kyaw,person
392,Aye Aye Kyi,person
393,Aye Aye Kyu,person
394,Aye Aye Lat,person
395,Aye Aye Lwin,person
396,Aye Aye Mar,person
397,Aye Aye Maw,person
398,Aye Aye Min,person
399,Aye Aye Moe,person
400,Aye Aye Mon,person
401,Aye Aye Mu,person
402,Aye Aye Mya,person
403,Aye Aye Myaing,person
404,Aye Aye Myat,person
405,Aye Aye Myint,person
406,Aye Aye Naing,person
407,Aye Aye Nu,person
408,Aye Aye Nwe,person
409,Aye Aye Nyein,person
410,Aye Aye Nyo,person
411,Aye Aye Nyunt,person
412,Aye Aye Oo,person
413,Aye Aye Pyone,person
414,Aye Aye San,person
415,Aye Aye Sein,person
416,Aye Aye Shwe,person
417,Aye Aye Si,person
418,Aye Aye Soe,person
419,Aye Aye Swe,person
420,Aye Aye Than,person
421,Aye Aye Thant,person
422,Aye Aye Thaung,person
423,Aye Aye Thein,person
424,Aye Aye Thet,person
425,Aye Aye Thi,person
426,Aye Aye Thin,person
427,Aye Aye Thit,person
428,Aye Aye Thwe,person
429,Aye Aye Thwin,person
430,Aye Aye Tin,person
431,Aye Aye Tint,person
432,Aye Aye Tun,person
433,Aye Aye Win,person
434,Aye Aye Yi,person
435,Aye Aye Yin,person
436,Aye Chan,person
437,Aye Chit,person
438,Aye Cho,person
439,Aye Cho,person
440,Aye Han,person
441,Aye Hla,person
442,Aye Hlaing,person
443,Aye Hlaing,person
444,Aye Htwe,person
445,Aye Khaing,person
446,Aye Khaing,person
447,Aye Khan,person
448,Aye Khin,person
449,Aye Ko,person
450,Aye Ko Ko,person
451,Aye Kwe,person
452,Aye Kyaing,person
453,Aye Kyaing,person
454,Aye Kyan,person
455,Aye Kyaw,person
456,Aye Kyaw,person
457,Aye Kyi,person
458,Aye Kyi,person
459,Aye Kyi Nyein,person
460,Aye Kyin,person
461,Aye Kyin,person
462,Aye Kyu,person
463,Aye Kyu,person
464,Aye Kywe,person
465,Aye Kywe,person
466,Aye Li,person
467,Aye Lwin,person
468,Aye Mar,person
469,Aye Maung,person
470,Aye Maw,person
471,Aye May,person
472,Aye Mi,person
473,Aye Mi San,person
474,Aye Min,person
475,Aye Min Oo,person
476,Aye Min Soe,person
477,Aye Min Tun,person
478,Aye Mon,person
479,Aye Mu,person
480,Aye Mu,person
481,Aye Mya,person
482,Aye Mya Aung,person
483,Aye Myaing,person
484,Aye Myat Mon,person
485,Aye Myat Mon Oo,person
486,Aye Myat Nwe,person
487,Aye Myint,person
488,Aye Myint,person
489,Aye Myint Khaing,person
490,Aye Myint Kyi,person
491,Aye Myint Nwe,person
492,Aye Myint Oo,person
493,Aye Myint Soe,person
494,Aye Myint Than,person
495,Aye Myint Yi,person
496,Aye Naing,person
497,Aye Nan,person
498,Aye Ngwe,person
499,Aye Ngwe,person
500,Aye Nu,person
501,Aye Nwe,person
502,Aye Nyein,person
503,Aye Nyo,person
504,Aye Nyunt,person
505,Aye Nyunt,person
506,Aye Pe,person
507,Aye Po,person
508,Aye Po,person
509,Aye San,person
510,Aye San,person
511,Aye Sandar,person
512,Aye Sandar Win,person
513,Aye Saung,person
514,Aye Sein,person
515,Aye Sein,person
516,Aye Shin,person
517,Aye Shwe,person
518,Aye Shwe,person
519,Aye Soe,person
520,Aye Swe,person
521,Aye Swe,person
522,Aye Thaik,person
523,Aye Than,person
524,Aye Than,person
525,Aye Thant,person
526,Aye Thant,person
527,Aye Thaung,person
528,Aye Thaung,person
529,Aye Thaw,person
530,Aye Thein,person
531,Aye Thein,person
532,Aye Thi,person
533,Aye Thida,person
534,Aye Thit,person
535,Aye Thwe,person
536,Aye Thwin,person
537,Aye Thwin,person
538,Aye Tin,person
539,Aye Tin,person
540,Aye Tint,person
541,Aye Tun,person
542,Aye Win,person
543,Aye Win,person
544,Aye Yi,person
545,Aye Yin,person
546,Aye Zaw,person
547,Ba Aung,person
548,Ba Aye,person
549,Ba Chit,person
550,Ba Cho,person
551,Ba Gyan,person
552,Ba Han,person
553,Ba Hein,person
554,Ba Hla,person
555,Ba Hlaing,person
556,Ba Htay,person
557,Ba Htoo,person
558,Ba Htwe,person
559,Ba Khaing,person
560,Ba Khin,person
561,Ba Ko,person
562,Ba Kyaing,person
563,Ba Kyaw,person
564,Ba Kyi,person
565,Ba Kyin,person
566,Ba La,person
567,Ba Lwin,person
568,Ba Maung,person
569,Ba Maw,person
570,Ba Myaing,person
571,Ba Myint,person
572,Ba Ngwe,person
573,Ba Ni,person
574,Ba Nyein,person
575,Ba Nyunt,person
576,Ba Ohn,person
577,Ba Oo,person
578,Ba Pu,person
579,Ba San,person
580,Ba Saw,person
581,Ba Sein,person
582,Ba Shein,person
583,Ba Shin,person
584,Ba Shwe,person
585,Ba Si,person
586,Ba Sint,person
587,Ba Soe,person
588,Ba Swe,person
589,Ba Than,person
590,Ba Thar,person
591,Ba Thaung,person
592,Ba Thaw,person
593,Ba Thein,person
594,Ba Thin,person
595,Ba Thit,person
596,Ba Thwin,person
597,Ba Tin,person
598,Ba Tint,person
599,Ba Toke,person
600,Ba Tun,person
601,Ba Wan,person
602,Ba Win,person
603,Ba Yi,person
604,Ba Yin,person
605,Ba Yin Lay,person
606,Ba Zan,person
607,Babassu palm,food
608,Baboon,animal
609,Baby food,food
610,Bactrian Camel,animal
611,Badger,animal
612,Bagel,food
613,Baiji,animal
614,Baked beans,food
615,Baked potato,food
616,Balinese,animal
617,Bamboo shoots,food
618,Banana,food
619,Banded Palm Civet,animal
620,Bandicoot,animal
621,Barb,animal
622,Barley,food
623,Barn Owl,animal
624,Barnacle,animal
625,Barracuda,animal
626,Barramundi Fish,animal
627,Basenji Dog,animal
628,Basking Shark,animal
629,Basset Fauve de Bretagne,animal
630,Basset Hound,animal
631,Bat,animal
632,Bavarian Mountain Hound,animal
633,Bayberry,food
634,Beagle,animal
635,Bean,food
636,Bear,animal
637,Bearded Collie,animal
638,Bearded Dragon,animal
639,Bearded seal,food
640,Beaver,animal
641,Beaver,food
642,Bedlington Terrier,animal
643,Beech nut,food
644,Beefalo,food
645,Beer,food
646,Beetle,animal
647,Beluga Sturgeon,animal
648,Beluga whale,food
649,Bengal Tiger,animal
650,Bernese Mountain Dog,animal
651,Berry wine,food
652,Beverages,food
653,Bichir,animal
654,Bichon Frise,animal
655,Biewer Terrier,animal
656,Bilberry,food
657,Binturong,animal
658,Bird,animal
659,Birds Of Paradise,animal
660,Birman,animal
661,Biscuit,food
662,Bison,animal
663,Bison,food
664,Bitter gourd,food
665,Bivalvia Clam Mussel Oyster,food
666,Black Marlin,animal
667,Black Rhinoceros,animal
668,Black Russian Terrier,animal
669,Black Widow Spider,animal
670,Black bear,food
671,Black cabbage,food
672,Black chokeberry,food
673,Black crowberry,food
674,Black elderberry,food
675,Black eyed pea,food
676,Black huckleberry,food
677,Black mulberry,food
678,Black radish,food
679,Black raspberry,food
680,Black salsify,food
681,Black walnut,food
682,Blackcurrant,food
683,Blobfish,animal
684,Bloodhound,animal
685,Blue Jay,animal
686,Blue Lacy Dog,animal
687,Blue Whale,animal
688,Blue crab,food
689,Blue mussel,food
690,Blue whiting,food
691,Bluefish,food
692,Bluetick Coonhound,animal
693,Bo,person
694,Bo Aung,person
695,Bo Aye,person
696,Bo Bo,person
697,Bo Bo Win,person
698,Bo Cho,person
699,Bo Gyi,person
700,Bo Htay,person
701,Bo Kay,person
702,Bo Khin,person
703,Bo Kyaw,person
704,Bo Kyi,person
705,Bo Kyin,person
706,Bo Lay,person
707,Bo Maung,person
708,Bo Myint,person
709,Bo Ni,person
710,Bo Nyunt,person
711,Bo San,person
712,Bo Sein,person
713,Bo Shwe,person
714,Bo Soe,person
715,Bo Than,person
716,Bo Thaung,person
717,Bo Thein,person
718,Bo Thin,person
719,Bo Tin,person
720,Bo Tun,person
721,Bo Wa,person
722,Bo Win,person
723,Bo Yi,person
724,Bobcat,animal
725,Bog bilberry,food
726,Bolognese Dog,animal
727,Bombay,animal
728,Bongo,animal
729,Bonito Fish,animal
730,Bonobo,animal
731,Booby,animal
732,Borage,food
733,Border Collie,animal
734,Border Terrier,animal
735,Bornean Orang utan,animal
736,Borneo Elephant,animal
737,Boston Terrier: Complete Pet Guide,animal
738,Bottlenose Dolphin,animal
739,Bowfin,animal
740,Bowhead Whale,animal
741,Bowhead whale,food
742,Boxer Dog,animal
743,Boykin Spaniel,animal
744,Boysenberry,food
745,Brassicas,food
746,Brazil nut,food
747,Brazilian Terrier,animal
748,Breadfruit,food
749,Breadnut tree seed,food
750,Breakfast cereal,food
751,Breakfast sandwich,food
752,British Timber,animal
753,Broad bean,food
754,Broad whitefish,food
755,Broccoli,food
756,Brown Bear,animal
757,Brown bear,food
758,Brussel sprouts,food
759,Budgerigar,animal
760,Buffalo,animal
761,Buffalo,food
762,Buffalo currant,food
763,Bulgur,food
764,Bull Shark,animal
765,Bull Terrier,animal
766,Bulldog,animal
767,Bullfrog,animal
768,Bullmastiff,animal
769,Bumblebee,animal
770,Burbot,food
771,Burdock,food
772,Burmese,animal
773,Burrito,food
774,Burrowing Frog,animal
775,Butter,food
776,Butter substitute,food
777,Butterfat,food
778,Butterfly,animal
779,Butterfly Fish,animal
780,Buttermilk,food
781,Butternut,food
782,Butternut squash,food
783,Cabbage,food
784,Caiman,animal
785,Caiman Lizard,animal
786,Cairn Terrier,animal
787,Cake,food
788,Calabash,food
789,Camel,animal
790,Camel Spider,animal
791,Canaan Dog,animal
792,Canada blueberry,food
793,Canadian Eskimo Dog,animal
794,Candy bar,food
795,Canola,food
796,Capers,food
797,Capybara,animal
798,Caracal,animal
799,Caraway,food
800,Cardamom,food
801,Cardoon,food
802,Caribou,food
803,Carob,food
804,Carolina Dog,animal
805,Carp,animal
806,Carp bream,food
807,Carrot,food
808,Cascade huckleberry,food
809,Casein,food
810,Cashew nut,food
811,Cassava,food
812,Cassowary,animal
813,Cat,animal
814,Caterpillar,animal
815,Catfish,animal
816,Catfish,food
817,Catjang pea,food
818,Cattle Beef Veal,food
819,Cauliflower,food
820,Cavalier King Charles Spaniel,animal
821,Celeriac,food
822,Celery leaves,food
823,Celery stalks,food
824,Centipede,animal
825,Cereals and cereal products,food
826,Cesky Fousek,animal
827,Cetacea Dolphin Porpoise Whale,food
828,Ceylon cinnamon,food
829,Chameleon,animal
830,Chamois,animal
831,Chan,person
832,Chan Aye,person
833,Chan Chan,person
834,Chan Maung,person
835,Chan Mya,person
836,Chan Myae Kyi,person
837,Chan Sein,person
838,Chan Sein Win,person
839,Chan Thar,person
840,Chan Tun,person
841,Chan Tun Aung,person
842,Channel catfish,food
843,Chanterelle,food
844,Charr,food
845,Chaw,person
846,Chaw Chaw,person
847,Chaw Su,person
848,Chaw Su Hlaing,person
849,Chaw Su Lwin,person
850,Chayote,food
851,Cheese,food
852,Cheetah,animal
853,Cherimoya,food
854,Cherry tomato,food
855,Chervil,food
856,Chesapeake Bay Retriever,animal
857,Chestnut,food
858,Chewing gum,food
859,Chia,food
860,Chicken,animal
861,Chicken Cock Hen Rooster,food
862,Chickpea,food
863,Chicory,food
864,Chicory leaves,food
865,Chicory roots,food
866,Chihuahua,animal
867,Chili,food
868,Chimaera,animal
869,Chimichanga,food
870,Chimpanzee,animal
871,Chinchilla,animal
872,Chinese Crested Dog,animal
873,Chinese bayberry,food
874,Chinese broccoli,food
875,Chinese cabbage,food
876,Chinese chestnut,food
877,Chinese chives,food
878,Chinese cinnamon,food
879,Chinese mustard,food
880,Chinese water chestnut,food
881,Chinook,animal
882,Chinook salmon,food
883,Chinstrap Penguin,animal
884,Chipmunk,animal
885,Chit,person
886,Chit,person
887,Chit Aung,person
888,Chit Aye,person
889,Chit Chit,person
890,Chit Han,person
891,Chit Hla,person
892,Chit Hlaing,person
893,Chit Htay,person
894,Chit Htwe,person
895,Chit Khaing,person
896,Chit Khin,person
897,Chit Ko,person
898,Chit Ko Ko,person
899,Chit Kyi,person
900,Chit Lwin,person
901,Chit Maung,person
902,Chit May,person
903,Chit Mya,person
904,Chit Myaing,person
905,Chit Myint,person
906,Chit Naing,person
907,Chit Ngwe,person
908,Chit Nyunt,person
909,Chit Oo,person
910,Chit Pe,person
911,Chit Po,person
912,Chit San,person
913,Chit Saung,person
914,Chit Sein,person
915,Chit Sein,person
916,Chit Shein,person
917,Chit Shwe,person
918,Chit Soe,person
919,Chit Swe,person
920,Chit Tee,person
921,Chit Than,person
922,Chit Thaung,person
923,Chit Thein,person
924,Chit Tin,person
925,Chit Tin,person
926,Chit Toe,person
927,Chit Tun,person
928,Chit Wai,person
929,Chit Win,person
930,Chit Yi,person
931,Chit Yin,person
932,Chives,food
933,Cho,person
934,Cho,person
935,Cho Aung,person
936,Cho Aye,person
937,Cho Cho,person
938,Cho Cho,person
939,Cho Cho Aung,person
940,Cho Cho Aye,person
941,Cho Cho Htwe,person
942,Cho Cho Khaing,person
943,Cho Cho Khin,person
944,Cho Cho Lay,person
945,Cho Cho Lwin,person
946,Cho Cho Mar,person
947,Cho Cho Maw,person
948,Cho Cho Myint,person
949,Cho Cho Naing,person
950,Cho Cho Nyunt,person
951,Cho Cho Oo,person
952,Cho Cho Pyone,person
953,Cho Cho San,person
954,Cho Cho Than,person
955,Cho Cho Thein,person
956,Cho Cho Thet,person
957,Cho Cho Thin,person
958,Cho Cho Tin,person
959,Cho Cho Tun,person
960,Cho Cho Win,person
961,Cho Gyi,person
962,Cho Lay,person
963,Cho Lwin,person
964,Cho Mar,person
965,Cho Mar Lwin,person
966,Cho Mar Oo,person
967,Cho Myint,person
968,Cho Nwe Oo,person
969,Cho Oo,person
970,Cho Pyone,person
971,Cho Pyone,person
972,Cho Ti,person
973,Cho Too,person
974,Cho Too,person
975,Cho Tu,person
976,Cho Tun,person
977,Cho Win,person
978,Chocolate,food
979,Chocolate mousse,food
980,Chocolate spread,food
981,Chow Chow,animal
982,Chum salmon,food
983,Cichlid,animal
984,Cichlidae Tilapia,food
985,Cinnamon,food
986,Cisco,food
987,Citrus,food
988,Clawed lobster,food
989,Climbing bean,food
990,Cloud ear fungus,food
991,Cloudberry,food
992,Clouded Leopard,animal
993,Cloves,food
994,Clownfish,animal
995,Clumber Spaniel,animal
996,Clupeinae Herring Sardine Sprat,food
997,Coalfish pollock,food
998,Coati,animal
999,Cockatoo,animal
1000,Cockroach,animal
1001,Cocktail,food
1002,Cocoa and cocoa products,food
1003,Cocoa bean,food
1004,Cocoa butter,food
1005,Cocoa liquor,food
1006,Cocoa powder,food
1007,Coconut,food
1008,Coelacanth,animal
1009,Coffee,food
1010,Coffee and coffee products,food
1011,Coffee mocha,food
1012,Coffee substitute,food
1013,Coho salmon,food
1014,Cold cut,food
1015,Collared Peccary,animal
1016,Collie,animal
1017,Colorado pinyon,food
1018,Colossal Squid,animal
1019,Columbidae Dove Pigeon,food
1020,Common Buzzard,animal
1021,Common Frog,animal
1022,Common Loon,animal
1023,Common Toad,animal
1024,Common bean,food
1025,Common beet,food
1026,Common buckwheat,food
1027,Common cabbage,food
1028,Common carp,food
1029,Common chokecherry,food
1030,Common dab,food
1031,Common grape,food
1032,Common hazelnut,food
1033,Common ling,food
1034,Common mushroom,food
1035,Common octopus,food
1036,Common oregano,food
1037,Common pea,food
1038,Common persimmon,food
1039,Common sage,food
1040,Common salsify,food
1041,Common thyme,food
1042,Common verbena,food
1043,Common walnut,food
1044,Common wheat,food
1045,Conch,food
1046,Condensed milk,food
1047,Cooking oil,food
1048,Cooper’s Hawk,animal
1049,Coral,animal
1050,Coriander,food
1051,Corn,food
1052,Corn chip,food
1053,Corn grits,food
1054,Corn salad,food
1055,Cornbread,food
1056,Cornmint,food
1057,Cotton top Tamarin,animal
1058,Cottonseed,food
1059,Cougar,animal
1060,Couscous,food
1061,Cow,animal
1062,Cowpea,food
1063,Coyote,animal
1064,Crab,animal
1065,Crab,food
1066,Crab Eating Macaque,animal
1067,Cracker,food
1068,Crane,animal
1069,Crayfish,food
1070,Cream,food
1071,Cream substitute,food
1072,Crested Penguin,animal
1073,Crisp bread,food
1074,Crocodile,animal
1075,Cross River Gorilla,animal
1076,Crustaceans,food
1077,Cucumber,food
1078,Cucurbita Gourd,food
1079,Cumin,food
1080,Cupuaçu,food
1081,Curly Coated Retriever,animal
1082,Curry powder,food
1083,Cuscus,animal
1084,Cusk,food
1085,Custard apple,food
1086,Cuttlefish,animal
1087,Cuttlefish,food
1088,Dachshund,animal
1089,Daikon radish,food
1090,Dalmatian,animal
1091,Dandelion,food
1092,Darwin’s Frog,animal
1093,Date,food
1094,Deer,animal
1095,Deer,food
1096,Deerberry,food
1097,Desert Tortoise,animal
1098,Deutsche Bracke,animal
1099,Devilfish,food
1100,Dhole,animal
1101,Dill,food
1102,Dingo,animal
1103,Discus,animal
1104,Doberman Pinscher,animal
1105,Dock,food
1106,Dodo,animal
1107,Dog,animal
1108,Dogo Argentino,animal
1109,Dogue De Bordeaux,animal
1110,Dolphin,animal
1111,Dolphin fish,food
1112,Domestic goat,food
1113,Domestic pig Piglet Pork,food
1114,Donkey,animal
1115,Dormouse,animal
1116,Dough,food
1117,Dragonfish,animal
1118,Dragonfly,animal
1119,Dragée,food
1120,Drever,animal
1121,Dried milk,food
1122,Dripping,food
1123,Drum Fish,animal
1124,Duck,animal
1125,Dugong,animal
1126,Dulce de leche,food
1127,Dumpling,food
1128,Dungeness crab,food
1129,Dunker,animal
1130,Durian,food
1131,Dusky Dolphin,animal
1132,Dwarf Crocodile,animal
1133,Eagle,animal
1134,Earwig,animal
1135,Eastern Gorilla,animal
1136,Eastern Lowland Gorilla,animal
1137,Eastern oyster,food
1138,Echidna,animal
1139,Edible Frog,animal
1140,Edible shell,food
1141,Eel,animal
1142,Egg roll,food
1143,Egg substitute,food
1144,Eggplant,food
